'CK.envelope_of_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.one_le_lambdaDenom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaReq_le_lambdaBar' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lbNum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lbNum_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_lambdaDenom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_lbNum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBarD1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_lambdaBar' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBarD2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_lambdaBarD1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.D2_numer_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBarD2_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar_convexOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar_lt_knot0' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar_lt_knot1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar_lt_knot2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.lambdaBar_lt_knot3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.s_knot0' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.s_knot1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.s_knot2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.s_knot3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.cubic0' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.cubic1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.cubic2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.segment_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.entropy_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.large_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.complementary_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.courtadeKumar_proved' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q20' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q50_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q459_250' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q59_21' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q137_23' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q22_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q899_101' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q459_41' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q199_60' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q127_40' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q3967_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q4883_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q5619_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q5' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q8' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q40_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q4' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q7' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q10' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q9' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q25' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q23' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q50' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q47' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.log_q19' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q2_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q2_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q3_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q3_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q20_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q20_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q50_3_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q459_250_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q59_21_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q137_23_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q22_3_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q899_101_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q459_41_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q199_60_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q127_40_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q3967_1000_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q4883_1000_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_log_q5619_1000_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.knot_rho_3_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.knot_rho_3_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.knot_rho_17_20' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.knot_rho_9_10' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_1_4_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_1_8_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_1_10_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_2_25_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_3_50_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_1_5_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.row_h_1_20_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.comb_log3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.comb_log2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.comb_rat1' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.comb_rat2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.AppF.comb_rat3' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.wAux' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.wAux_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.wAux_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.continuous_wAux' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_wAux' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.wAux_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurvDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.hasDerivAt_psiCurv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurvDeriv_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurv0' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurv_zero_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.psiCurv0_continuousAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.curvature_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.IsDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.kernel_col_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_noisy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_isDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.noisy_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent_mixture_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_bool' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent_bool' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.ent_zero_dim' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.deficit_zero_dim' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_snoc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.marg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.condDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.marg_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sum_marg' depends on axioms: [propext, Classical.choice, Quot.sound]
